air_temp,clearsky_ghi,cloud_opacity,ghi,wind_speed_10m,zenith,period_end,period
15,889,64.8,315,2.8,34,2021-11-23T00:00:00+00:00,PT60M
17,998,64.1,357,2.5,23,2021-11-23T01:00:00+00:00,PT60M
19,1048,55.8,464,2.3,16,2021-11-23T02:00:00+00:00,PT60M
19,1036,28.1,744,2.4,18,2021-11-23T03:00:00+00:00,PT60M
20,959,19.7,769,2.7,27,2021-11-23T04:00:00+00:00,PT60M
20,825,23.9,629,2.8,38,2021-11-23T05:00:00+00:00,PT60M
19,645,41.3,381,2.9,50,2021-11-23T06:00:00+00:00,PT60M
19,436,51.5,212,3,63,2021-11-23T07:00:00+00:00,PT60M
18,220,58.3,94,2.9,75,2021-11-23T08:00:00+00:00,PT60M
17,42,79.9,13,2.6,86,2021-11-23T09:00:00+00:00,PT60M
16,0,86.6,0,2.1,97,2021-11-23T10:00:00+00:00,PT60M
16,0,80,0,1.9,107,2021-11-23T11:00:00+00:00,PT60M
15,0,69.2,0,2,115,2021-11-23T12:00:00+00:00,PT60M
15,0,25.5,0,1.7,121,2021-11-23T13:00:00+00:00,PT60M
15,0,66.7,0,1.3,124,2021-11-23T14:00:00+00:00,PT60M
15,0,71.1,0,1.2,124,2021-11-23T15:00:00+00:00,PT60M
15,0,81,0,1.3,120,2021-11-23T16:00:00+00:00,PT60M
14,0,74.6,0,1.2,113,2021-11-23T17:00:00+00:00,PT60M
14,0,85,0,0.8,104,2021-11-23T18:00:00+00:00,PT60M
14,1,89.1,0,0.7,94,2021-11-23T19:00:00+00:00,PT60M
14,93,70.3,34,0.7,82,2021-11-23T20:00:00+00:00,PT60M
15,292,56.9,130,0.4,71,2021-11-23T21:00:00+00:00,PT60M
16,506,36.5,321,0.2,58,2021-11-23T22:00:00+00:00,PT60M
17,703,47.6,368,0.2,46,2021-11-23T23:00:00+00:00,PT60M
17,863,62.8,321,0.6,34,2021-11-24T00:00:00+00:00,PT60M
17,974,89.1,105,1.2,23,2021-11-24T01:00:00+00:00,PT60M
17,1026,94.6,55,1.8,16,2021-11-24T02:00:00+00:00,PT60M
18,1015,77,232,2.2,18,2021-11-24T03:00:00+00:00,PT60M
18,942,64.8,331,1.9,27,2021-11-24T04:00:00+00:00,PT60M
18,814,64,292,1.5,38,2021-11-24T05:00:00+00:00,PT60M
18,641,55.2,294,1.5,50,2021-11-24T06:00:00+00:00,PT60M
18,438,46.3,232,1.2,62,2021-11-24T07:00:00+00:00,PT60M
18,227,53.8,111,0.6,74,2021-11-24T08:00:00+00:00,PT60M
17,47,79.3,12,1,86,2021-11-24T09:00:00+00:00,PT60M
16,0,91.8,0,1.5,97,2021-11-24T10:00:00+00:00,PT60M
16,0,93.7,0,1.6,107,2021-11-24T11:00:00+00:00,PT60M
16,0,94.2,0,1.4,115,2021-11-24T12:00:00+00:00,PT60M
15,0,92,0,0.9,121,2021-11-24T13:00:00+00:00,PT60M
15,0,91.5,0,0.9,124,2021-11-24T14:00:00+00:00,PT60M
15,0,86.9,0,1,123,2021-11-24T15:00:00+00:00,PT60M
15,0,68.9,0,0.9,119,2021-11-24T16:00:00+00:00,PT60M
15,0,74,0,0.7,113,2021-11-24T17:00:00+00:00,PT60M
15,0,58.6,0,0.8,104,2021-11-24T18:00:00+00:00,PT60M
15,1,49.3,1,1.1,94,2021-11-24T19:00:00+00:00,PT60M
16,95,41,59,1.2,82,2021-11-24T20:00:00+00:00,PT60M
17,294,12.6,260,1,71,2021-11-24T21:00:00+00:00,PT60M
18,506,13.4,436,0.8,58,2021-11-24T22:00:00+00:00,PT60M
19,701,26.5,519,0.8,46,2021-11-24T23:00:00+00:00,PT60M
19,860,44.4,473,1,34,2021-11-25T00:00:00+00:00,PT60M
19,972,65.5,336,1.2,23,2021-11-25T01:00:00+00:00,PT60M
20,1026,47.9,535,0.7,16,2021-11-25T02:00:00+00:00,PT60M
20,1015,66.9,337,0.9,17,2021-11-25T03:00:00+00:00,PT60M
19,941,73.5,244,1.8,26,2021-11-25T04:00:00+00:00,PT60M
19,814,91.8,70,2.2,38,2021-11-25T05:00:00+00:00,PT60M
18,644,93.5,43,1,50,2021-11-25T06:00:00+00:00,PT60M
18,442,88.6,48,1.1,62,2021-11-25T07:00:00+00:00,PT60M
18,230,71.5,65,1.4,74,2021-11-25T08:00:00+00:00,PT60M
18,49,64.7,17,1.6,86,2021-11-25T09:00:00+00:00,PT60M
17,0,60.1,0,2,97,2021-11-25T10:00:00+00:00,PT60M
16,0,54.5,0,2.1,107,2021-11-25T11:00:00+00:00,PT60M
16,0,43.2,0,2.4,115,2021-11-25T12:00:00+00:00,PT60M
15,0,57.7,0,2.7,121,2021-11-25T13:00:00+00:00,PT60M
15,0,48.6,0,2.9,124,2021-11-25T14:00:00+00:00,PT60M
14,0,44.4,0,3,123,2021-11-25T15:00:00+00:00,PT60M
14,0,65.5,0,3.1,119,2021-11-25T16:00:00+00:00,PT60M
13,0,79.2,0,3.5,113,2021-11-25T17:00:00+00:00,PT60M
13,0,63.3,0,4.1,104,2021-11-25T18:00:00+00:00,PT60M
13,2,78.4,0,4.8,93,2021-11-25T19:00:00+00:00,PT60M
12,99,83.8,16,5.5,82,2021-11-25T20:00:00+00:00,PT60M
12,300,81.7,55,5.8,71,2021-11-25T21:00:00+00:00,PT60M
13,515,80.1,100,5.2,58,2021-11-25T22:00:00+00:00,PT60M
13,714,94.2,42,5,46,2021-11-25T23:00:00+00:00,PT60M
13,873,90.4,84,5.6,34,2021-11-26T00:00:00+00:00,PT60M
13,984,86.3,135,6.1,23,2021-11-26T01:00:00+00:00,PT60M
13,1039,77.6,233,6.5,16,2021-11-26T02:00:00+00:00,PT60M
12,1030,84.3,162,7,17,2021-11-26T03:00:00+00:00,PT60M
12,957,69.7,290,7.8,26,2021-11-26T04:00:00+00:00,PT60M
12,827,70.9,240,8,38,2021-11-26T05:00:00+00:00,PT60M
11,652,64.3,227,7,50,2021-11-26T06:00:00+00:00,PT60M
11,448,82.4,84,5.9,62,2021-11-26T07:00:00+00:00,PT60M
11,235,72,72,5.6,74,2021-11-26T08:00:00+00:00,PT60M
10,51,72.7,12,5.8,86,2021-11-26T09:00:00+00:00,PT60M
10,0,57.2,0,5.8,97,2021-11-26T10:00:00+00:00,PT60M
9,0,51.6,0,5.8,106,2021-11-26T11:00:00+00:00,PT60M
9,0,43.5,0,5.8,115,2021-11-26T12:00:00+00:00,PT60M
9,0,57.2,0,5.6,121,2021-11-26T13:00:00+00:00,PT60M
9,0,81.6,0,5.4,124,2021-11-26T14:00:00+00:00,PT60M
9,0,49.6,0,5.1,123,2021-11-26T15:00:00+00:00,PT60M
9,0,67.7,0,5.2,119,2021-11-26T16:00:00+00:00,PT60M
9,0,81,0,5.5,112,2021-11-26T17:00:00+00:00,PT60M
9,0,82.1,0,5.6,104,2021-11-26T18:00:00+00:00,PT60M
9,2,65.8,1,5.7,93,2021-11-26T19:00:00+00:00,PT60M
9,99,68.5,28,5.7,82,2021-11-26T20:00:00+00:00,PT60M
9,302,51,154,5.5,70,2021-11-26T21:00:00+00:00,PT60M
10,519,42.4,294,5.8,58,2021-11-26T22:00:00+00:00,PT60M
11,720,67,237,6.4,46,2021-11-26T23:00:00+00:00,PT60M
11,884,65.7,304,6.2,34,2021-11-27T00:00:00+00:00,PT60M
12,996,70.3,296,5.9,23,2021-11-27T01:00:00+00:00,PT60M
13,1052,60.8,413,6.3,16,2021-11-27T02:00:00+00:00,PT60M
14,1043,76,250,6.6,17,2021-11-27T03:00:00+00:00,PT60M
14,969,64.4,344,6.5,26,2021-11-27T04:00:00+00:00,PT60M
14,839,70.1,250,6.2,38,2021-11-27T05:00:00+00:00,PT60M
14,663,63.6,241,5.7,50,2021-11-27T06:00:00+00:00,PT60M
13,456,53.7,206,5.2,62,2021-11-27T07:00:00+00:00,PT60M
12,239,46.4,132,5,74,2021-11-27T08:00:00+00:00,PT60M
11,53,34.1,30,4.8,86,2021-11-27T09:00:00+00:00,PT60M
11,0,25.8,0,3.9,96,2021-11-27T10:00:00+00:00,PT60M
10,0,23.6,0,3.3,106,2021-11-27T11:00:00+00:00,PT60M
10,0,21.6,0,3.2,114,2021-11-27T12:00:00+00:00,PT60M
9,0,11.7,0,3.1,120,2021-11-27T13:00:00+00:00,PT60M
9,0,0,0,3.2,123,2021-11-27T14:00:00+00:00,PT60M
9,0,0,0,3.4,123,2021-11-27T15:00:00+00:00,PT60M
9,0,0,0,3.5,119,2021-11-27T16:00:00+00:00,PT60M
9,0,0,0,3.6,112,2021-11-27T17:00:00+00:00,PT60M
8,0,0.9,0,3.7,104,2021-11-27T18:00:00+00:00,PT60M
8,2,0,2,3.7,93,2021-11-27T19:00:00+00:00,PT60M
9,105,39.6,60,4,82,2021-11-27T20:00:00+00:00,PT60M
10,314,13.3,281,4.4,70,2021-11-27T21:00:00+00:00,PT60M
11,532,12.5,457,4.3,58,2021-11-27T22:00:00+00:00,PT60M
12,733,50.9,361,4,46,2021-11-27T23:00:00+00:00,PT60M
13,897,43.7,507,3.8,34,2021-11-28T00:00:00+00:00,PT60M
14,1012,37.4,633,3.6,23,2021-11-28T01:00:00+00:00,PT60M
16,1067,25.9,790,3.4,15,2021-11-28T02:00:00+00:00,PT60M
16,1059,37.7,661,3.3,17,2021-11-28T03:00:00+00:00,PT60M
17,986,57.3,419,3.3,26,2021-11-28T04:00:00+00:00,PT60M
17,855,50.1,422,3.4,37,2021-11-28T05:00:00+00:00,PT60M
16,678,46.7,365,3.6,50,2021-11-28T06:00:00+00:00,PT60M
15,469,26.6,336,3.7,62,2021-11-28T07:00:00+00:00,PT60M
14,250,15.8,220,3.7,74,2021-11-28T08:00:00+00:00,PT60M
13,58,45.6,40,3.5,85,2021-11-28T09:00:00+00:00,PT60M
12,0,31.8,0,3.1,96,2021-11-28T10:00:00+00:00,PT60M
11,0,46.7,0,2.8,106,2021-11-28T11:00:00+00:00,PT60M
11,0,54.9,0,2.5,114,2021-11-28T12:00:00+00:00,PT60M
10,0,9.1,0,2.1,120,2021-11-28T13:00:00+00:00,PT60M
10,0,26.2,0,1.8,123,2021-11-28T14:00:00+00:00,PT60M
9,0,51.6,0,1.5,123,2021-11-28T15:00:00+00:00,PT60M
9,0,7.7,0,1.2,119,2021-11-28T16:00:00+00:00,PT60M
8,0,0,0,1.1,112,2021-11-28T17:00:00+00:00,PT60M
9,0,3.7,0,1,103,2021-11-28T18:00:00+00:00,PT60M
8,2,20,1,0.7,93,2021-11-28T19:00:00+00:00,PT60M
9,106,9.2,102,0.7,82,2021-11-28T20:00:00+00:00,PT60M
10,315,0,315,1.1,70,2021-11-28T21:00:00+00:00,PT60M
12,535,0,535,1.2,58,2021-11-28T22:00:00+00:00,PT60M
13,736,0,736,1,46,2021-11-28T23:00:00+00:00,PT60M
15,903,0,903,0.8,34,2021-11-29T00:00:00+00:00,PT60M
17,1020,0,1020,0.9,23,2021-11-29T01:00:00+00:00,PT60M
19,1077,0,1077,1.2,15,2021-11-29T02:00:00+00:00,PT60M
20,1069,0,1069,1.8,17,2021-11-29T03:00:00+00:00,PT60M
21,995,0,995,2.3,26,2021-11-29T04:00:00+00:00,PT60M
22,863,0.2,861,2.7,37,2021-11-29T05:00:00+00:00,PT60M
22,683,0,683,2.7,49,2021-11-29T06:00:00+00:00,PT60M
22,473,0,473,2.3,62,2021-11-29T07:00:00+00:00,PT60M
21,253,18.9,214,1.3,74,2021-11-29T08:00:00+00:00,PT60M
18,60,48.8,20,1,85,2021-11-29T09:00:00+00:00,PT60M
16,0,16.4,0,1.7,96,2021-11-29T10:00:00+00:00,PT60M
14,0,11.6,0,2,106,2021-11-29T11:00:00+00:00,PT60M
13,0,0,0,1.8,114,2021-11-29T12:00:00+00:00,PT60M
13,0,0,0,1.7,120,2021-11-29T13:00:00+00:00,PT60M
12,0,0,0,1.7,123,2021-11-29T14:00:00+00:00,PT60M
11,0,0,0,1.7,123,2021-11-29T15:00:00+00:00,PT60M
11,0,0,0,1.5,119,2021-11-29T16:00:00+00:00,PT60M
11,0,0,0,1.1,112,2021-11-29T17:00:00+00:00,PT60M
11,0,0,0,1.1,103,2021-11-29T18:00:00+00:00,PT60M
11,2,0,2,1.4,93,2021-11-29T19:00:00+00:00,PT60M
11,102,0,102,1.6,82,2021-11-29T20:00:00+00:00,PT60M
13,308,0,308,1.5,70,2021-11-29T21:00:00+00:00,PT60M
15,529,0,529,1,58,2021-11-29T22:00:00+00:00,PT60M
16,733,0,733,0.5,46,2021-11-29T23:00:00+00:00,PT60M
18,899,0,899,1.3,34,2021-11-30T00:00:00+00:00,PT60M
20,1013,0,1013,1.9,23,2021-11-30T01:00:00+00:00,PT60M
22,1067,0,1067,2.1,15,2021-11-30T02:00:00+00:00,PT60M
23,1059,9.8,956,2,16,2021-11-30T03:00:00+00:00,PT60M
24,989,84.2,157,2.1,26,2021-11-30T04:00:00+00:00,PT60M
24,862,43.2,480,1.9,37,2021-11-30T05:00:00+00:00,PT60M
23,686,54.3,323,1.6,49,2021-11-30T06:00:00+00:00,PT60M
23,475,64.3,165,1.9,61,2021-11-30T07:00:00+00:00,PT60M
22,254,42.5,146,2.3,73,2021-11-30T08:00:00+00:00,PT60M
20,61,63.5,29,2.4,85,2021-11-30T09:00:00+00:00,PT60M
19,0,70.1,0,3.1,96,2021-11-30T10:00:00+00:00,PT60M
18,0,83.8,0,3.2,106,2021-11-30T11:00:00+00:00,PT60M
17,0,88.3,0,2.6,114,2021-11-30T12:00:00+00:00,PT60M
17,0,83.1,0,2.2,120,2021-11-30T13:00:00+00:00,PT60M
16,0,60.5,0,1.7,123,2021-11-30T14:00:00+00:00,PT60M
16,0,57.1,0,1.2,122,2021-11-30T15:00:00+00:00,PT60M
15,0,78.6,0,1.2,119,2021-11-30T16:00:00+00:00,PT60M
15,0,89.9,0,1.3,112,2021-11-30T17:00:00+00:00,PT60M
15,0,69.4,0,1.3,103,2021-11-30T18:00:00+00:00,PT60M
14,2,53.5,1,1.3,93,2021-11-30T19:00:00+00:00,PT60M
15,103,56.5,43,1.3,82,2021-11-30T20:00:00+00:00,PT60M
16,306,4.3,296,1.1,70,2021-11-30T21:00:00+00:00,PT60M
18,524,6.3,486,1.2,58,2021-11-30T22:00:00+00:00,PT60M
19,725,4.3,696,1.2,46,2021-11-30T23:00:00+00:00,PT60M
20,888,0,888,1.3,34,2021-12-01T00:00:00+00:00,PT60M
22,999,0,999,1.7,23,2021-12-01T01:00:00+00:00,PT60M
23,1051,25.5,782,2.1,15,2021-12-01T02:00:00+00:00,PT60M
23,1040,94.7,55,2,16,2021-12-01T03:00:00+00:00,PT60M
23,966,57.6,402,1.5,25,2021-12-01T04:00:00+00:00,PT60M
23,838,23,639,1.1,37,2021-12-01T05:00:00+00:00,PT60M
23,664,26.6,503,1.5,49,2021-12-01T06:00:00+00:00,PT60M
22,461,32.7,302,2.2,61,2021-12-01T07:00:00+00:00,PT60M
21,246,14.9,205,2.2,73,2021-12-01T08:00:00+00:00,PT60M
19,59,35.6,43,1.5,85,2021-12-01T09:00:00+00:00,PT60M
17,0,36,0,1.6,96,2021-12-01T10:00:00+00:00,PT60M
16,0,26.7,0,1.8,106,2021-12-01T11:00:00+00:00,PT60M
15,0,14,0,1.6,114,2021-12-01T12:00:00+00:00,PT60M
14,0,74.9,0,1.5,120,2021-12-01T13:00:00+00:00,PT60M
14,0,35.3,0,1.3,123,2021-12-01T14:00:00+00:00,PT60M
13,0,21,0,1.2,122,2021-12-01T15:00:00+00:00,PT60M
12,0,0.8,0,1.2,118,2021-12-01T16:00:00+00:00,PT60M
12,0,1.4,0,1.2,112,2021-12-01T17:00:00+00:00,PT60M
12,0,2.3,0,1.1,103,2021-12-01T18:00:00+00:00,PT60M
12,2,0.5,2,1,93,2021-12-01T19:00:00+00:00,PT60M
12,103,29.8,74,1,82,2021-12-01T20:00:00+00:00,PT60M
15,306,2.8,300,0.9,70,2021-12-01T21:00:00+00:00,PT60M
17,524,0,524,0.5,58,2021-12-01T22:00:00+00:00,PT60M
19,725,0,725,0.4,46,2021-12-01T23:00:00+00:00,PT60M
20,890,0,890,0.9,34,2021-12-02T00:00:00+00:00,PT60M
22,1003,0,1003,1.3,23,2021-12-02T01:00:00+00:00,PT60M
24,1056,0,1056,1.6,15,2021-12-02T02:00:00+00:00,PT60M
25,1047,0.4,1043,1.7,16,2021-12-02T03:00:00+00:00,PT60M
25,977,10.1,879,1.7,25,2021-12-02T04:00:00+00:00,PT60M
26,850,23.4,659,1.9,37,2021-12-02T05:00:00+00:00,PT60M
25,677,79.6,147,2.1,49,2021-12-02T06:00:00+00:00,PT60M
24,471,54.9,193,1.8,61,2021-12-02T07:00:00+00:00,PT60M
24,256,46.9,127,1.4,73,2021-12-02T08:00:00+00:00,PT60M
21,66,21.8,60,1.6,85,2021-12-02T09:00:00+00:00,PT60M
19,0,46.2,0,1,96,2021-12-02T10:00:00+00:00,PT60M
18,0,10.8,0,0.5,105,2021-12-02T11:00:00+00:00,PT60M
17,0,4,0,0.5,114,2021-12-02T12:00:00+00:00,PT60M
16,0,17.8,0,0.4,120,2021-12-02T13:00:00+00:00,PT60M
16,0,42.5,0,0.6,123,2021-12-02T14:00:00+00:00,PT60M
16,0,79,0,1.2,122,2021-12-02T15:00:00+00:00,PT60M
16,0,49.7,0,0.9,118,2021-12-02T16:00:00+00:00,PT60M
15,0,38.9,0,0.6,112,2021-12-02T17:00:00+00:00,PT60M
14,0,6.3,0,1,103,2021-12-02T18:00:00+00:00,PT60M
14,2,0,2,0.9,93,2021-12-02T19:00:00+00:00,PT60M
15,105,16,91,0.7,82,2021-12-02T20:00:00+00:00,PT60M
18,309,0.2,308,0.3,70,2021-12-02T21:00:00+00:00,PT60M
21,527,0,527,0.7,58,2021-12-02T22:00:00+00:00,PT60M
22,730,0,730,1.5,46,2021-12-02T23:00:00+00:00,PT60M
24,894,0,894,1.6,34,2021-12-03T00:00:00+00:00,PT60M
25,1007,0,1007,2.3,23,2021-12-03T01:00:00+00:00,PT60M
27,1063,0,1063,2.6,15,2021-12-03T02:00:00+00:00,PT60M
27,1054,5.3,998,2.3,16,2021-12-03T03:00:00+00:00,PT60M
27,980,5.1,932,2.9,25,2021-12-03T04:00:00+00:00,PT60M
27,849,0.1,849,3.9,37,2021-12-03T05:00:00+00:00,PT60M
26,675,10.2,610,4.1,49,2021-12-03T06:00:00+00:00,PT60M
25,470,10.6,417,4.1,61,2021-12-03T07:00:00+00:00,PT60M
22,254,0.7,252,3.9,73,2021-12-03T08:00:00+00:00,PT60M
19,65,21.2,58,3.6,85,2021-12-03T09:00:00+00:00,PT60M
17,0,71,0,3.5,95,2021-12-03T10:00:00+00:00,PT60M
16,0,79.8,0,3.4,105,2021-12-03T11:00:00+00:00,PT60M
15,0,33.6,0,3,113,2021-12-03T12:00:00+00:00,PT60M
15,0,44.4,0,2.4,119,2021-12-03T13:00:00+00:00,PT60M
15,0,59.1,0,2,122,2021-12-03T14:00:00+00:00,PT60M
14,0,31.5,0,1.7,122,2021-12-03T15:00:00+00:00,PT60M
14,0,50.1,0,1.6,118,2021-12-03T16:00:00+00:00,PT60M
14,0,79.2,0,1.5,112,2021-12-03T17:00:00+00:00,PT60M
13,0,62.9,0,1.4,103,2021-12-03T18:00:00+00:00,PT60M
13,2,45.7,2,1.4,93,2021-12-03T19:00:00+00:00,PT60M
13,107,51.3,45,1.1,82,2021-12-03T20:00:00+00:00,PT60M
14,318,19,270,0.6,70,2021-12-03T21:00:00+00:00,PT60M
16,545,8.7,497,0.2,58,2021-12-03T22:00:00+00:00,PT60M
17,752,0,752,0.4,46,2021-12-03T23:00:00+00:00,PT60M
19,920,0,920,0.5,34,2021-12-04T00:00:00+00:00,PT60M
21,1034,0,1034,1.1,23,2021-12-04T01:00:00+00:00,PT60M
22,1085,0,1085,1.9,15,2021-12-04T02:00:00+00:00,PT60M
23,1074,1.9,1054,2.6,16,2021-12-04T03:00:00+00:00,PT60M
23,1003,0.1,1002,3,25,2021-12-04T04:00:00+00:00,PT60M
23,873,45.7,491,2.8,36,2021-12-04T05:00:00+00:00,PT60M
21,694,55.5,310,1.4,49,2021-12-04T06:00:00+00:00,PT60M
19,484,7.2,443,1.3,61,2021-12-04T07:00:00+00:00,PT60M
17,264,20.2,225,3.6,73,2021-12-04T08:00:00+00:00,PT60M
15,69,31.6,30,4.4,84,2021-12-04T09:00:00+00:00,PT60M
13,0,37.7,0,4.1,95,2021-12-04T10:00:00+00:00,PT60M
12,0,35.4,0,3.5,105,2021-12-04T11:00:00+00:00,PT60M
12,0,60.6,0,3.3,113,2021-12-04T12:00:00+00:00,PT60M
12,0,72.3,0,3.5,119,2021-12-04T13:00:00+00:00,PT60M
11,0,71.4,0,3.7,122,2021-12-04T14:00:00+00:00,PT60M
11,0,80,0,3.7,122,2021-12-04T15:00:00+00:00,PT60M
11,0,79.3,0,3.6,118,2021-12-04T16:00:00+00:00,PT60M
11,0,86.9,0,3.5,112,2021-12-04T17:00:00+00:00,PT60M
10,0,81.6,0,3.4,103,2021-12-04T18:00:00+00:00,PT60M
10,2,70.8,2,3.5,93,2021-12-04T19:00:00+00:00,PT60M
10,109,42,63,3.8,82,2021-12-04T20:00:00+00:00,PT60M
10,320,40.3,187,4.3,70,2021-12-04T21:00:00+00:00,PT60M
11,543,47.3,285,4.3,58,2021-12-04T22:00:00+00:00,PT60M
12,748,22.4,582,4,46,2021-12-04T23:00:00+00:00,PT60M
12,916,51,441,4.1,34,2021-12-05T00:00:00+00:00,PT60M
13,1033,84.3,162,4,23,2021-12-05T01:00:00+00:00,PT60M
14,1089,84.3,171,3.8,15,2021-12-05T02:00:00+00:00,PT60M
14,1081,66.8,359,3.7,16,2021-12-05T03:00:00+00:00,PT60M
14,1011,74.8,257,3.8,25,2021-12-05T04:00:00+00:00,PT60M
15,883,62.8,325,4.1,36,2021-12-05T05:00:00+00:00,PT60M
15,708,38,437,4.3,48,2021-12-05T06:00:00+00:00,PT60M
15,499,39.9,302,4.3,61,2021-12-05T07:00:00+00:00,PT60M
14,277,42.6,160,4.3,73,2021-12-05T08:00:00+00:00,PT60M
13,76,44.4,40,4.3,84,2021-12-05T09:00:00+00:00,PT60M
12,0,54.9,0,3.9,95,2021-12-05T10:00:00+00:00,PT60M
11,0,9,0,3.6,105,2021-12-05T11:00:00+00:00,PT60M
10,0,44.1,0,3.7,113,2021-12-05T12:00:00+00:00,PT60M
9,0,48.9,0,3.7,119,2021-12-05T13:00:00+00:00,PT60M
9,0,2.9,0,3.6,122,2021-12-05T14:00:00+00:00,PT60M
8,0,16.3,0,3.2,122,2021-12-05T15:00:00+00:00,PT60M
8,0,49.2,0,2.5,118,2021-12-05T16:00:00+00:00,PT60M
8,0,60.8,0,1.9,112,2021-12-05T17:00:00+00:00,PT60M
8,0,33.6,0,1.7,103,2021-12-05T18:00:00+00:00,PT60M
8,2,17.7,2,2.1,93,2021-12-05T19:00:00+00:00,PT60M
9,111,39.5,65,2.3,82,2021-12-05T20:00:00+00:00,PT60M
10,322,15.2,279,2.9,70,2021-12-05T21:00:00+00:00,PT60M
12,542,30.8,378,3.4,58,2021-12-05T22:00:00+00:00,PT60M
13,745,38.3,458,3.1,46,2021-12-05T23:00:00+00:00,PT60M
13,912,48.9,465,2.6,34,2021-12-06T00:00:00+00:00,PT60M
15,1028,51.1,504,2.5,23,2021-12-06T01:00:00+00:00,PT60M
16,1083,28.7,773,2.4,14,2021-12-06T02:00:00+00:00,PT60M
17,1070,71.1,310,2.2,15,2021-12-06T03:00:00+00:00,PT60M
18,992,79.2,205,2.4,25,2021-12-06T04:00:00+00:00,PT60M
19,858,62.6,326,2.6,36,2021-12-06T05:00:00+00:00,PT60M
19,682,69.9,197,2.8,48,2021-12-06T06:00:00+00:00,PT60M
19,475,21.1,371,3.2,61,2021-12-06T07:00:00+00:00,PT60M
18,259,28.1,188,3.1,73,2021-12-06T08:00:00+00:00,PT60M
17,69,43.4,34,2.6,84,2021-12-06T09:00:00+00:00,PT60M
15,0,34.5,0,1.7,95,2021-12-06T10:00:00+00:00,PT60M
14,0,47.7,0,1.4,105,2021-12-06T11:00:00+00:00,PT60M
14,0,18.4,0,1.5,113,2021-12-06T12:00:00+00:00,PT60M
13,0,2.9,0,1.6,119,2021-12-06T13:00:00+00:00,PT60M
13,0,35.4,0,1.4,122,2021-12-06T14:00:00+00:00,PT60M
12,0,34,0,1,122,2021-12-06T15:00:00+00:00,PT60M
12,0,1.3,0,0.7,118,2021-12-06T16:00:00+00:00,PT60M
13,0,47.4,0,0.5,112,2021-12-06T17:00:00+00:00,PT60M
13,0,36.1,0,0.4,103,2021-12-06T18:00:00+00:00,PT60M
12,2,46.1,1,0.4,93,2021-12-06T19:00:00+00:00,PT60M
13,103,29.3,65,0.4,82,2021-12-06T20:00:00+00:00,PT60M
15,305,14.2,264,0.7,70,2021-12-06T21:00:00+00:00,PT60M
16,521,5.8,488,1.4,58,2021-12-06T22:00:00+00:00,PT60M
17,723,33.4,494,2.4,46,2021-12-06T23:00:00+00:00,PT60M
17,888,5.7,838,3.3,34,2021-12-07T00:00:00+00:00,PT60M
18,1004,3.7,966,3.4,23,2021-12-07T01:00:00+00:00,PT60M
20,1061,20.8,840,3.4,14,2021-12-07T02:00:00+00:00,PT60M
21,1053,9.8,950,3.5,15,2021-12-07T03:00:00+00:00,PT60M
22,985,39.8,595,3.7,24,2021-12-07T04:00:00+00:00,PT60M
22,859,76.5,199,3.8,36,2021-12-07T05:00:00+00:00,PT60M
22,687,40.6,408,3.4,48,2021-12-07T06:00:00+00:00,PT60M
21,486,49.3,252,2.7,60,2021-12-07T07:00:00+00:00,PT60M
21,272,55,118,2,72,2021-12-07T08:00:00+00:00,PT60M
19,77,18.4,66,1.8,84,2021-12-07T09:00:00+00:00,PT60M
17,0,17.3,0,1.9,95,2021-12-07T10:00:00+00:00,PT60M
15,0,26.6,0,0.9,105,2021-12-07T11:00:00+00:00,PT60M
15,0,2.4,0,2,113,2021-12-07T12:00:00+00:00,PT60M
14,0,42,0,3.3,119,2021-12-07T13:00:00+00:00,PT60M
14,0,38.9,0,3.3,122,2021-12-07T14:00:00+00:00,PT60M
14,0,62,0,2.3,122,2021-12-07T15:00:00+00:00,PT60M
14,0,78.7,0,1.4,118,2021-12-07T16:00:00+00:00,PT60M
13,0,75.5,0,1.4,111,2021-12-07T17:00:00+00:00,PT60M
13,0,65.5,0,1.8,103,2021-12-07T18:00:00+00:00,PT60M
12,2,67.1,1,1.9,93,2021-12-07T19:00:00+00:00,PT60M
12,102,52,48,1.8,82,2021-12-07T20:00:00+00:00,PT60M
12,304,75.9,73,1.9,70,2021-12-07T21:00:00+00:00,PT60M
13,520,90,51,1.9,58,2021-12-07T22:00:00+00:00,PT60M
13,720,86.8,98,2.1,46,2021-12-07T23:00:00+00:00,PT60M
14,884,47.5,466,2.4,34,2021-12-08T00:00:00+00:00,PT60M
14,997,26.7,730,2.3,23,2021-12-08T01:00:00+00:00,PT60M
14,1056,59.2,430,2.3,14,2021-12-08T02:00:00+00:00,PT60M
14,1050,22.5,812,2.6,15,2021-12-08T03:00:00+00:00,PT60M
15,983,55.2,445,3,24,2021-12-08T04:00:00+00:00,PT60M
15,861,60.5,339,3.8,36,2021-12-08T05:00:00+00:00,PT60M
15,692,30.6,477,3.9,48,2021-12-08T06:00:00+00:00,PT60M
15,490,33.9,325,3.4,60,2021-12-08T07:00:00+00:00,PT60M
14,273,60.5,117,3,72,2021-12-08T08:00:00+00:00,PT60M
13,78,83.5,7,2.7,84,2021-12-08T09:00:00+00:00,PT60M
12,0,49.6,0,2.5,95,2021-12-08T10:00:00+00:00,PT60M
12,0,50.4,0,2.4,104,2021-12-08T11:00:00+00:00,PT60M
